Description,Date_Acquired,Date_Sold,Proceeds,Cost_Basis,Code,Adjustment,Gain_Loss,Marketplace
"Khruangbin - Con Todo El Mundo 
(LP, Album, Club, Ltd, Num, Blu)",1/17/2018,8/27/2025,$166.73 ,$43.00 ,,,$123.73,discogs
"Clipse - Lord Willin' (2xLP, Album, Club, RE, Gre)",4/22/2024,9/1/2025,$82.64 ,$43.00 ,,,$39.64,discogs
"Metal Fingers - Special Herbs Volume 7 & 8 
(2xLP, Comp, RE + 7"", Ltd + S/Edition)",6/19/2018,9/4/2025,$90.55 ,$43.00 ,,,$47.55,discogs
"Black Moon - Enta Da Stage: The Complete Edition 
(2xLP, Album, RE + 2xLP, Album + 2xLP, Comp +",4/17/2017,9/19/2025,$198.61 ,$79.00 ,,,$119.61,discogs
"Christina Aguilera - Back To Basics 
(2xLP, Album, Ltd, RE, Red)",4/4/2018,10/2/2025,$300.12 ,$40.59 ,,,$259.53,discogs
"Taj Mahal - The Best Of Taj Mahal (LP, Comp)",,10/10/2025,$9.53 ,$4.99 ,,,$4.54,discogs
"D'Angelo - Voodoo 
(2xLP, Album, Club, Ltd, RE, RM, Smo)",6/5/2024,10/14/2025,$62.92 ,$43.00 ,,,$19.92,discogs
"Digital Underground - Sex Packets (LP, Album)",,11/14/2025,$34.85 ,$24.00 ,,,$10.85,discogs
"The Ahmad Jamal Trio* - The Awakening 
(LP, Album, Ltd, RE, RM, 180)",7/8/2018,11/12/2025,$73.58 ,$40.00 ,,,$33.58,discogs
"Saba (14) - Care For Me (LP, Album, Club, Gre)",10/10/2018,12/9/2025,$63.78 ,$40.00 ,,,$23.78,discogs
"Lou Rawls - Merry Christmas. Ho! Ho! Ho! 
(LP, Album, Jac)",,12/17/2025,$20.73 ,$5.00 ,,,$15.73,discogs
"Ready For The World - Ready For The World 
(LP, Album)",,12/26/2025,$21.18 ,$14.00 ,,,$7.18,discogs
